Rank,Name,Pos,Attempts,Comps,Pass TDs,Pass Yards,Ints,Receptions,Rec Yards,Rec TDs,Rush Yards,Rush TDs,Fumbles,Projections
63,Xavier Worthy,WR,,,,,,68.0,900.5,7.0,92.0,1.0,1.0,213.25
64,DK Metcalf,WR,,,,,,80.0,950.5,6.5,6.0,,1.0,212.65
65,Mike Evans,WR,,,,,,71.0,950.5,7.5,,,1.0,211.05
66,DeVonta Smith,WR,,,,,,81.0,952.0,6.0,5.0,,1.0,210.7
67,Garrett Wilson,WR,,,,,,87.0,925.5,4.5,37.0,,1.0,210.25
68,Omarion Hampton,RB,,,,,,37.0,281.0,1.0,850.5,9.0,2.0,208.15
69,Rashee Rice,WR,,,,,,77.0,866.0,7.0,11.0,,1.0,206.7
70,Breece Hall,RB,,,,,,43.0,350.5,2.0,900.5,5.0,2.0,206.1
71,Chuba Hubbard,RB,,,,,,38.0,268.0,1.0,950.5,7.0,2.0,205.85
72,Courtland Sutton,WR,,,,,,75.0,875.5,6.5,,,1.0,201.55
73,Calvin Ridley,WR,,,,,,71.0,925.5,6.0,33.0,,1.0,200.85
74,Tony Pollard,RB,,,,,,40.0,290.0,1.0,900.5,6.0,1.0,199.05
75,Jerry Jeudy,WR,,,,,,77.0,900.5,5.0,18.0,,1.0,198.85
76,George Kittle,TE,,,,,,70.0,900.5,6.5,,,1.0,197.05
77,Jameson Williams,WR,,,,,,65.0,875.5,5.5,67.0,1.0,1.0,196.25
78,Jaylen Waddle,WR,,,,,,75.0,925.5,4.5,23.0,,1.0,194.85
79,George Pickens,WR,,,,,,70.0,900.5,5.5,16.0,,1.0,194.65
80,Deebo Samuel,WR,,,,,,65.0,830.0,5.0,120.0,1.0,1.0,194.0
81,RJ Harvey,RB,,,,,,43.0,315.0,2.0,700.5,6.0,,192.55
82,Zay Flowers,WR,,,,,,70.0,900.5,4.5,43.0,,1.0,189.35
83,TreVeyon Henderson,RB,,,,,,41.0,312.0,2.0,700.5,6.0,1.0,188.25
84,Tetairoa McMillan,WR,,,,,,78.0,800.5,4.5,27.0,,1.0,185.75
85,Jakobi Meyers,WR,2.0,1.0,,14.0,,79.0,800.5,4.5,11.0,,1.0,185.71
86,D'Andre Swift,RB,,,,,,33.0,238.0,1.0,866.0,6.0,1.0,185.4
87,Kenneth Walker,RB,,,,,,30.0,220.0,1.0,875.5,7.0,2.0,183.55
88,Jauan Jennings,WR,,,,,,66.0,865.0,5.0,5.0,,1.0,181.0
89,Isiah Pacheco,RB,,,,,,33.0,243.0,1.0,815.0,6.0,1.0,180.8
90,Russell Wilson,QB,366.0,236.0,14.0,2555.0,7.0,,,,195.0,2.0,2.0,180.7
91,Ricky Pearsall,WR,,,,,,59.0,875.5,5.0,55.0,,1.0,180.05
92,Rome Odunze,WR,,,,,,67.0,800.5,5.5,5.0,,1.0,178.55
93,David Montgomery,RB,,,,,,29.0,225.0,1.0,725.5,8.0,1.0,176.05
94,Travis Hunter,WR,,,,,,71.0,750.5,4.5,28.0,,,175.85
95,Jayden Reed,WR,,,,,,59.0,730.0,5.0,98.0,1.0,1.0,175.8
96,Chris Olave,WR,,,,,,73.0,825.5,3.5,5.0,,1.0,175.05
97,Kaleb Johnson,RB,,,,,,25.0,185.0,1.0,775.5,8.0,1.0,175.05
98,Sam LaPorta,TE,,,,,,69.0,675.5,6.5,,,1.0,173.55
99,Joe Mixon,RB,,,,,,29.0,210.0,1.0,755.0,7.0,1.0,173.5
100,Matthew Golden,WR,,,,,,64.0,700.5,6.0,33.0,,,173.35
101,Aaron Jones,RB,,,,,,38.0,280.0,2.0,725.5,4.0,2.0,172.55
102,T.J. Hockenson,TE,,,,,,74.0,700.5,5.0,,,1.0,172.05
103,Khalil Shakir,WR,,,,,,71.0,777.0,4.0,11.0,,1.0,171.8
104,Stefon Diggs,WR,,,,,,70.0,750.5,4.5,11.0,,1.0,171.15
105,Anthony Richardson,QB,246.0,144.0,10.0,1725.0,7.0,,,,448.0,4.0,2.0,170.8
106,Cooper Kupp,WR,,,,,,65.0,700.5,5.5,16.0,,1.0,167.65
107,Tyrone Tracy,RB,,,,,,35.0,260.0,1.0,745.0,4.0,1.0,165.5
108,Travis Kelce,TE,,,,,,70.0,700.5,4.5,1.0,,1.0,165.15
109,Jaylen Warren,RB,,,,,,45.0,340.0,1.0,575.5,4.0,1.0,164.55
110,Michael Pittman,WR,,,,,,66.0,750.5,4.0,5.0,,1.0,163.55
111,Darnell Mooney,WR,,,,,,57.0,773.0,5.0,5.0,,1.0,162.8
112,J.K. Dobbins,RB,,,,,,38.0,275.0,2.0,590.0,5.0,2.0,162.5
113,Chris Godwin,WR,,,,,,62.0,700.5,5.0,9.0,,1.0,160.95
114,Brian Robinson,RB,,,,,,21.0,153.0,1.0,725.5,8.0,1.0,160.85
115,Travis Etienne,RB,,,,,,39.0,290.0,2.0,582.0,4.0,1.0,160.2
116,Rashid Shaheed,WR,,,,,,57.0,700.5,5.0,43.0,,1.0,159.35
117,Jordan Addison,WR,,,,,,62.0,625.5,6.0,6.0,,1.0,159.15
118,Josh Downs,WR,,,,,,65.0,700.5,4.0,17.0,,1.0,158.75
119,Emeka Egbuka,WR,,,,,,56.0,713.0,5.0,17.0,,1.0,157.0
120,Tyler Shough,QB,335.0,206.0,12.0,2264.0,9.0,,,,194.0,2.0,3.0,156.96
121,Mark Andrews,TE,,,,,,55.0,600.5,6.5,4.0,,1.0,154.45
122,Keon Coleman,WR,,,,,,53.0,750.5,4.5,6.0,,1.0,153.65
123,David Njoku,TE,,,,,,69.0,625.5,4.0,,,1.0,153.55
124,Jayden Higgins,WR,,,,,,57.0,650.5,5.0,6.0,,,152.65
