,ModelPoints,ModelPoints
,sum,count
Name,,
Jordan Love,277.72,17
Jordan Mason,87.85868926553674,17
Jordan Whittington,52.36,17
Josh Allen,352.78,17
Josh Downs,174.11472222222224,17
Josh Jacobs,239.0722833887043,17
Josh Palmer,164.96276666666665,17
Joshua Dobbs,0.0,6
JuJu Smith-Schuster,2.88,8
Justice Hill,70.7855342032967,17
Justin Fields,256.31000000000006,17
Justin Herbert,287.88000000000005,17
Justin Jefferson,368.5491262135923,17
Justin Watson,0.0,1
Juwan Johnson,49.98,18
KaVontae Turpin,79.7656127016129,17
Kaleb Johnson,139.01999999999998,18
Kalif Raymond,1.98,11
Kareem Hunt,21.545082469254883,9
Kayshon Boutte,113.2979534883721,17
Keenan Allen,139.7061076190476,17
Kendre Miller,27.87076923076923,16
Kendrick Bourne,41.936825,17
Kenneth Gainwell,2.7507,5
Kenneth Walker III,173.08799712601328,17
Keon Coleman,229.45275936073062,17
KhaDarel Hodge,2.88,8
Khalil Herbert,12.1695,7
Khalil Shakir,196.5695379265092,17
Kirk Cousins,0.0,17
Kyle Allen,0.0,17
Kyle Monangai,29.24,17
Kyle Pitts,69.6,17
Kyle Williams,75.47999999999999,17
Kyler Murray,317.74,17
Kyren Williams,198.949685101391,17
Ladd McConkey,312.4673365853659,17
Lamar Jackson,369.84000000000003,17
Lil'Jordan Humphrey,1.7999999999999998,5
Luke McCaffrey,25.16,17
Luke Musgrave,23.119999999999997,17
Luke Schoonmaker,2.52,7
Luther Burden III,82.05,17
Mack Hollins,55.419999999999995,17
Malachi Corley,45.17999999999999,17
Malik Nabers,322.35579840686273,17
Malik Washington,60.59264230769232,17
Mark Andrews,106.82000000000001,17
Marquez Valdes-Scantling,52.300000000000004,17
Marquise Brown,75.47999999999999,17
Marvin Harrison Jr.,121.39999999999999,17
Marvin Mims Jr.,84.70000000000002,17
Mason Taylor,71.3,17
Matthew Golden,100.76,17
Matthew Stafford,271.98,17
Max Brosmer,0.0,17
Mecole Hardman,-0.6000000000000001,1
Michael Mayer,29.18,17
Michael Penix Jr.,394.02000000000004,26
Michael Pittman,88.4,17
Michael Wilson,140.2839489361702,17
Mike Evans,268.9351418918919,17
Mike Gesicki,74.1,17
Miles Sanders,48.20576079545455,17
Najee Harris,140.1946385620915,17
Nick Chubb,4.6542941176470585,2
Nick Westbrook-Ikhine,52.36,17
Nico Collins,335.2668884803922,17
Noah Brown,67.21020000000001,17
Noah Fant,29.36,17
Noah Gray,52.36,17
Olamide Zaccheaus,64.0806546875,17
Ollie Gordon II,27.520000000000003,16
Omarion Hampton,172.64,17
Oronde Gadsden II,1.08,3
Parker Washington,10.284006249999997,7
Pat Bryant,29.24,17
Pat Freiermuth,54.44,19
Patrick Mahomes,330.18000000000006,17
Puka Nacua,344.4686349731492,17
Quentin Johnston,149.4937449275362,17
Quinn Ewers,0.0,5
Quinshon Judkins,148.68,17
RJ Harvey,152.99999999999997,17
Rachaad White,78.77065303308824,17
Raheem Mostert,31.786926470588238,17
Rashee Rice,261.01969444444444,17
Rashid Shaheed,93.35,17
Rashod Bateman,180.875025,17
Ray Davis,63.516823138297866,17
Ray-Ray McCloud,26.18,17
Rhamondre Stevenson,115.25252582923831,17
Ricky Pearsall,194.8531870967742,17
Rico Dowdle,65.68170948957584,17
Robert Woods,29.18,17
Roman Wilson,29.24,17
Rome Odunze,258.2079740740741,17
Romeo Doubs,121.70978260869566,17
Roschon Johnson,52.598,17
Russell Wilson,273.53,19
Sam Darnold,290.28,20
Sam Ehlinger,0.0,6
Sam Hartman,0.0,1
Sam LaPorta,100.76,17
Samaje Perine,16.893744623655913,9
Saquon Barkley,278.99973384115884,17
Savion Williams,29.24,17
Sean Clifford,0.0,17
Sean Tucker,22.3056,16
Shane Buechele,0.0,17
Spencer Rattler,123.75,17
Stefon Diggs,185.65777961783436,17
Sterling Shepard,5.6042812500000005,5
Stetson Bennett,0.0,17
T.J. Hockenson,93.56,17
Tahj Brooks,3.3200000000000003,2
Tai Felton,29.24,17
Tank Bigsby,50.08745138888889,17
Teddy Bridgewater,0.0,17
Tee Higgins,243.75085048076926,17
Terrance Ferguson,27.52,16
Terry McLaurin,284.65957317073173,17
Tetairoa McMillan,123.4,17
Tez Johnson,0.0,5
Theo Johnson,53.339999999999996,18
Tim Patrick,32.791,12
Tommy DeVito,0.0,8
Tommy TrembleTE - CA,2.16,6
Tony Pollard,158.54703954802264,17
Tory Horton,46.239999999999995,17
Travis Etienne,136.01814244897957,17
Travis Hunter,120.94,17
Travis Kelce,94.58000000000001,17
Tre Harris,68.91,17
Tre Tucker,77.30097022292995,17
TreVeyon Henderson,144.29999999999998,17
Trent Sherfield,0.0,1
Trevor Etienne,7.1,5
Trevor Lawrence,294.11,17
Trey Benson,58.23381012658228,17
Trey McBride,135.76,17
Troy Franklin,109.90780714285717,17
Tua Tagovailoa,267.72,17
Tucker Kraft,72.47999999999999,17
Tutu Atwell,95.69738333333333,17
Ty Johnson,30.836325203252027,17
Tyjae Spears,99.17029867521367,17
Tylan Wallace,0.72,2
Tyler Allgeier,74.68479464285713,17
Tyler Conklin,52.300000000000004,17
Tyler Higbee,30.6,17
Tyler Lockett,106.43707482993199,17
Tyler Shough,123.96000000000002,17
Tyler Warren,72.39,17
Tyreek Hill,296.30219135802474,17
Tyrone Tracy Jr.,111.64000000000001,17
Tyson Bagent,0.0,17
Van Jefferson,11.8796,8
Wan'Dale Robinson,65.24,17
